,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
223,mt-Cytb,,,,,,,Ppp1r14b,Tgfb1,Rps20,Emp3,Nme1,Tgfb1,Ctla2b,Gnai2,Hnrnpab,Hnrnpab,Ndrg1,Gsta4,Pla2g16,mt-Co2,Atad2,,Ltb,Mcm7,B2m,Bex6,Zfp36,Mllt4,Gsta4,Mllt4,Msmo1
224,Nsa2,,,,,,,Hsp90aa1,Sfpq,Hspe1,Nme1,Rbm3,Sfpq,Mecom,Rpl37,Itm2b,Itm2b,Akap13,Camk2d,P3h3,Pdia3,Rpl36,,Gns,Rplp0,Rpl13,Gm17590,Gem,Smpdl3a,Camk2d,Smpdl3a,Dntt
225,Snrpf,,,,,,,Tgfb1,Emp3,Hnrnpab,Rbm3,Rpl38,Emp3,Ipo11,Ppp1r14b,Syce2,Syce2,Nucks1,Smim6,Gprc5b,Tk1,Mcm6,,Agl,Rpl27,,E2f8,Esam,Pla2g16,Smim6,Pla2g16,Lpcat2
226,Eif4a1,,,,,,,Sfpq,Nme1,Ssbp2,Rpl38,Rps20,Nme1,Pim2,Prdx2,Mcm7,Mcm7,Slc45a3,Ccrl2,Mpl,Fabp5,Gnai2,,Cd84,Sec11c,,Clec4e,Krt18,P3h3,Ccrl2,P3h3,Plxna4os1
227,Rpl24,,,,,,,Emp3,Rbm3,Itm2b,Rps20,Hspe1,Rbm3,Mgst1,Hsp90aa1,Rplp0,Rplp0,Siglecf,Fam132a,Rufy2,Atad2,Rpl37,,Rras,H3f3a,,Cks1b,Mllt4,Gprc5b,Fam132a,Gprc5b,Nceh1
228,Slbp,,,,,,,Nme1,Rpl38,Syce2,Hspe1,Hnrnpab,Rpl38,Gchfr,Emp3,Rpl27,Rpl27,Bmp2k,Zfp36,Mecom,Rpl36,Ppp1r14b,,Tsc22d3,Rpl14,,Samd14,Smpdl3a,Prkcdbp,Zfp36,Mpl,H2-Q6
229,Prdx6,,,,,,,Rbm3,Rps20,Mcm7,Hnrnpab,Ssbp2,Rps20,Trpc6,Nme1,Sec11c,Sec11c,Smap2,Gem,A630072M18Rik,Mcm6,Prdx2,,Ctsf,B2m,,Zg16,Pla2g16,Mpl,Gem,Rufy2,Cyp2j6
230,mt-Co3,,,,,,,Rpl38,Hspe1,Rplp0,Itm2b,Itm2b,Hspe1,Id1,Rbm3,H3f3a,H3f3a,Incenp,Esam,Ipo11,Gnai2,Hsp90aa1,,Ier3,Rpl13,,Osbpl8,P3h3,Rufy2,Esam,Mecom,Fam65a
231,Gapdh,,,,,,,Rps20,Hnrnpab,Rpl27,Syce2,Syce2,Hnrnpab,Ebi3,Rpl38,Rpl14,Rpl14,Gm15658,Krt18,Pim2,Rpl37,Emp3,,Zyx,,,Emb,Gprc5b,Ctla2b,Krt18,A630072M18Rik,Adck3
232,Hnrnpd,,,,,,,Hspe1,Itm2b,Sec11c,Mcm7,Mcm7,Ssbp2,Crim1,Rps20,B2m,B2m,Rnase6,Nrxn1,Gcnt2,Ppp1r14b,Nme1,,,,,Zc3hav1,Prkcdbp,Mecom,Nrxn1,Ipo11,Ptrf
233,H2-K1,,,,,,,Hnrnpab,Syce2,H3f3a,Rplp0,Rplp0,Itm2b,Itsn1,Hspe1,Rpl13,Rpl13,Atp1b2,Mllt4,Gata3,Prdx2,Rbm3,,,,,Gnb4,Mpl,A630072M18Rik,Mllt4,Pim2,Dst
234,Phgdh,,,,,,,Itm2b,Mcm7,Rpl14,Rpl27,Rpl27,Syce2,Insig1,Hnrnpab,,,Hist1h4d,Smpdl3a,Ebi3,Gmfg,Rpl38,,,,,Hist1h3e,Rufy2,Gcnt2,Smpdl3a,Gcnt2,Letm2
235,H2-D1,,,,,,,Syce2,Rplp0,B2m,Sec11c,Sec11c,Mcm7,S100a6,Xist,,,Ces2g,Pla2g16,Itsn1,Hsp90aa1,Rps20,,,,,Adrbk2,Ctla2b,Ipo11,Pla2g16,Gata3,1700040L02Rik
236,mt-Co2,,,,,,,Mcm7,Rpl27,Rpl13,H3f3a,H3f3a,Rplp0,Rab6b,Itm2b,,,Galnt1,P3h3,Il18,Emp3,Hspe1,,,,,Msrb1,Mecom,Pim2,P3h3,Ebi3,Gimap5
237,Nedd4,,,,,,,Rplp0,Sec11c,,Rpl14,Rpl14,Rpl27,Art4,Syce2,,,Apoe,Gprc5b,Cd74,Nme1,Hnrnpab,,,,,Cd27,A630072M18Rik,Gata3,Gprc5b,Itsn1,Hoxb2
238,Pdia3,,,,,,,Rpl27,H3f3a,,B2m,B2m,Sec11c,Rhof,Mcm7,,,Mfsd2b,Mpl,S100a6,Rbm3,Xist,,,,,Lat2,Ipo11,Gbp7,Mpl,Il18,Znfx1
239,Fabp5,,,,,,,Sec11c,Rpl14,,Rpl13,Rpl13,H3f3a,Gm12216,Rplp0,,,Adgrl2,Rufy2,Rab6b,Rpl38,Itm2b,,,,,Kpna2,Pim2,Ebi3,Rufy2,Cd74,Hbb-bt
240,Tmem258,,,,,,,H3f3a,B2m,,,,Rpl14,Wbscr27,Rpl27,,,H2afv,Mecom,Art4,Rps20,Syce2,,,,,Hist1h1e,Gcnt2,Itsn1,Mecom,S100a6,H2-Q7
241,Creg1,,,,,,,Rpl14,Rpl13,,,,B2m,Tcf15,Sec11c,,,Lims1,Gcnt2,Gm12216,Msn,Mcm7,,,,,Tyrobp,Gata3,Il18,Gcnt2,Rab6b,Ptprcap
242,Atad2,,,,,,,B2m,,,,,Rpl13,Rcn3,H3f3a,,,Mta3,Ipo11,Wbscr27,Hspe1,Rplp0,,,,,Tuba1a,Gchfr,Insig1,Ipo11,Art4,G430095P16Rik
243,Rpl36,,,,,,,Rpl13,,,,,,Serpinb6a,Rpl14,,,Trf,Pim2,Nfkbiz,Hnrnpab,Rpl27,,,,,Ncf4,Trpc6,Trim34a,Pim2,Gm12216,Spns2
244,Mcm6,,,,,,,,,,,,,Gucy1a3,B2m,,,Rec114,A630072M18Rik,Amn1,Xist,Sec11c,,,,,Hist1h2ae,Ebi3,Cd74,A630072M18Rik,Wbscr27,Itga2b
245,Gnai2,,,,,,,,,,,,,Procr,Psmb8,,,Cenpe,Gata3,Socs1,Itm2b,H3f3a,,,,,Bmyc,Itsn1,S100a6,Gata3,Nfkbiz,Mkl2
246,Rpl37,,,,,,,,,,,,,Ahdc1,Rpl13,,,Gng12,Gbp7,Tcf15,Syce2,Rpl14,,,,,Ctr9,Il18,Rab6b,Gbp7,Amn1,Neurl3
247,Ppp1r14b,,,,,,,,,,,,,Junb,,,,Tuba1c,Ebi3,H2-Q4,Mcm7,B2m,,,,,Slpi,Insig1,Art4,Ebi3,Socs1,Endov
248,Hsp90aa1,,,,,,,,,,,,,Egr1,,,,Mns1,Itsn1,Rcn3,Rplp0,Psmb8,,,,,Il17ra,Cd74,Rhof,Itsn1,Tcf15,Crebl2
249,Tgfb1,,,,,,,,,,,,,Limk2,,,,Slc4a8,Il18,Serpinb6a,Rpl27,Rpl13,,,,,Atp13a3,S100a6,Myo1c,Il18,H2-Q4,Lpin1
250,Sfpq,,,,,,,,,,,,,Lpp,,,,Fam117a,Trim34a,Arhgap32,Sec11c,,,,,,Kif15,Rab6b,Gm12216,Trim34a,Rcn3,Pan3
251,Bnip3l,,,,,,,,,,,,,Gimap6,,,,Dach1,Cd74,Procr,H3f3a,,,,,,Ndrg1,Art4,Wbscr27,Cd74,Serpinb6a,Wfdc17
252,Emp3,,,,,,,,,,,,,Abcg2,,,,Cdk1,S100a6,Ahdc1,Rpl14,,,,,,Akap13,Cttn,Nfkbiz,S100a6,Arhgap32,H2-Ab1
253,Nme1,,,,,,,,,,,,,Aldh1a1,,,,Rgs2,Rab6b,Zbtb20,B2m,,,,,,Foxp1,Rhof,Amn1,Rab6b,Procr,Pard3b
254,Rbm3,,,,,,,,,,,,,Gm16140,,,,Sipa1l1,Art4,Junb,Psmb8,,,,,,Nucks1,Myo1c,Socs1,Art4,Ahdc1,Satb1
255,Jak1,,,,,,,,,,,,,Gm16104,,,,Ckap5,Gm12216,Egr1,Rpl13,,,,,,Slc45a3,Gm12216,Tcf15,Gm12216,Zbtb20,Fgf3
256,Rps20,,,,,,,,,,,,,H2-Aa,,,,Ccna2,Wbscr27,Lpp,,,,,,,Smap2,Wbscr27,H2-Q4,Wbscr27,Junb,Cers4
257,Rpl38,,,,,,,,,,,,,Cdkn1c,,,,Pdgfrb,Nfkbiz,Mxd4,,,,,,,Incenp,Nfkbiz,Rcn3,Nfkbiz,Egr1,Klf7
258,Hspe1,,,,,,,,,,,,,Ltb,,,,Gm20342,Amn1,Mir142hg,,,,,,,Cd34,Amn1,Serpinb6a,Amn1,Lpp,Txnip
259,Hnrnpab,,,,,,,,,,,,,Ctsf,,,,Aurkb,Socs1,Gimap6,,,,,,,Atp1b2,Socs1,Arhgap32,Socs1,Mxd4,Gnb4
260,Itm2b,,,,,,,,,,,,,Rras,,,,Iqgap1,Tcf15,Abcg2,,,,,,,Hist1h4d,Tcf15,Procr,Tcf15,Mir142hg,Camk2d
261,Syce2,,,,,,,,,,,,,Tsc22d3,,,,Smim5,H2-Q4,Gm16140,,,,,,,Ces2g,H2-Q4,Ahdc1,H2-Q4,Gimap6,Fam129a
262,Mcm7,,,,,,,,,,,,,Gstm1,,,,H2-Oa,Rcn3,H2-Aa,,,,,,,Cd93,Rcn3,Zbtb20,Rcn3,Abcg2,Cd27
263,Rplp0,,,,,,,,,,,,,Tns1,,,,Smc4,Serpinb6a,Gm16104,,,,,,,Apoe,Serpinb6a,Junb,Serpinb6a,Gm16140,Gem
264,Rpl27,,,,,,,,,,,,,1810011H11Rik,,,,Ikzf2,Arhgap32,Akap17b,,,,,,,Mfsd2b,Arhgap32,Limk2,Arhgap32,H2-Aa,Krt18
265,Sec11c,,,,,,,,,,,,,Lpar6,,,,Ube2s,Procr,Cdkn1c,,,,,,,Adgrl2,Procr,Egr1,Procr,Gm16104,Nrxn1
266,H3f3a,,,,,,,,,,,,,Rhob,,,,Rap1b,Ahdc1,Ltb,,,,,,,Khk,Gucy1a3,Lpp,Ahdc1,Akap17b,Mllt4
267,Rpl14,,,,,,,,,,,,,Pglyrp2,,,,Hist1h4i,Zbtb20,Gns,,,,,,,H2afv,Zbtb20,Mxd4,Zbtb20,Cdkn1c,Gm5111
268,B2m,,,,,,,,,,,,,,,,,Hist1h2bn,Junb,Cd84,,,,,,,Alas1,Junb,Mir142hg,Junb,Ltb,Gprc5b
269,Rpl13,,,,,,,,,,,,,,,,,Cox6b2,Limk2,Rras,,,,,,,St8sia4,Ahdc1,Gimap6,Limk2,Gns,Gcnt2
270,,,,,,,,,,,,,,,,,,Rgs10,Egr1,Tsc22d3,,,,,,,Cnn3,Egr1,Abcg2,Egr1,Cd84,Pim2
271,,,,,,,,,,,,,,,,,,Aurka,Lpp,Kmt2a,,,,,,,Lims1,Lpp,Aldh1a1,Lpp,Rras,A630072M18Rik
272,,,,,,,,,,,,,,,,,,Hist1h2ab,Mxd4,Agl,,,,,,,Mta3,Mxd4,Gm16140,Mxd4,Tsc22d3,Ltc4s
273,,,,,,,,,,,,,,,,,,Drosha,Mir142hg,Gstt1,,,,,,,Trf,Mir142hg,Gm16104,Mir142hg,Kmt2a,Dusp2
274,,,,,,,,,,,,,,,,,,Gp1bb,Gimap6,Ctsf,,,,,,,Rec114,Gimap6,H2-Aa,Gimap6,Agl,Stxbp4
275,,,,,,,,,,,,,,,,,,Zyx,Abcg2,Gstm1,,,,,,,Cenpe,Abcg2,Akap17b,Abcg2,Gstt1,Pcdh7
276,,,,,,,,,,,,,,,,,,,Gm16140,Ly75,,,,,,,Tuba1c,Aldh1a1,Ddx60,Gm16140,Ctsf,Por
277,,,,,,,,,,,,,,,,,,,H2-Aa,Pglyrp2,,,,,,,Mns1,Gm16140,Cdkn1c,H2-Aa,Gstm1,Shisa8
278,,,,,,,,,,,,,,,,,,,Gm16104,,,,,,,,Slc4a8,Gm16104,Ltb,Gm16104,Ly75,Tspan13
279,,,,,,,,,,,,,,,,,,,Akap17b,,,,,,,,Fam117a,H2-Aa,Gns,Akap17b,Pglyrp2,Gm12216
280,,,,,,,,,,,,,,,,,,,Ddx60,,,,,,,,Dach1,Akap17b,Agl,Ddx60,,Sipa1l1
281,,,,,,,,,,,,,,,,,,,Cdkn1c,,,,,,,,Cdk1,Cdkn1c,Rras,Cdkn1c,,Amn1
282,,,,,,,,,,,,,,,,,,,Ltb,,,,,,,,Sipa1l1,Ltb,Tsc22d3,Ltb,,Arhgap32
283,,,,,,,,,,,,,,,,,,,Gns,,,,,,,,Unc93b1,Gns,Kmt2a,Gns,,Pdgfrb
284,,,,,,,,,,,,,,,,,,,Cd84,,,,,,,,Ckap5,Agl,Ctsf,Cd84,,Ctxn1
285,,,,,,,,,,,,,,,,,,,Rras,,,,,,,,Ccna2,Rras,Ier3,Rras,,Ltb
286,,,,,,,,,,,,,,,,,,,Tsc22d3,,,,,,,,Flt3,Tsc22d3,Gstm1,Tsc22d3,,Gns
287,,,,,,,,,,,,,,,,,,,Kmt2a,,,,,,,,Gm20342,Kmt2a,1810011H11Rik,Kmt2a,,Cox6b2
288,,,,,,,,,,,,,,,,,,,Agl,,,,,,,,Aurkb,Ctsf,Ly75,Agl,,Pglyrp2
289,,,,,,,,,,,,,,,,,,,Ctsf,,,,,,,,Iqgap1,Tns1,Rhob,Ctsf,,Lgals9
290,,,,,,,,,,,,,,,,,,,Gstm1,,,,,,,,Smim5,Gstm1,Pglyrp2,Gstm1,,Aff3
291,,,,,,,,,,,,,,,,,,,Lpar6,,,,,,,,Smc4,1810011H11Rik,,Lpar6,,Cd274
292,,,,,,,,,,,,,,,,,,,Rhob,,,,,,,,Ikzf2,Ly75,,Rhob,,Agpat4
293,,,,,,,,,,,,,,,,,,,Pglyrp2,,,,,,,,Ube2s,Pglyrp2,,Pglyrp2,,Gfod2
294,,,,,,,,,,,,,,,,,,,,,,,,,,,Rap1b,,,,,Scarf1
295,,,,,,,,,,,,,,,,,,,,,,,,,,,Pkib,,,,,Pear1
296,,,,,,,,,,,,,,,,,,,,,,,,,,,Urod,,,,,Cxxc5
297,,,,,,,,,,,,,,,,,,,,,,,,,,,Hist1h4i,,,,,Tnip3
298,,,,,,,,,,,,,,,,,,,,,,,,,,,Hist1h2bn,,,,,Gm16152
299,,,,,,,,,,,,,,,,,,,,,,,,,,,Cox6b2,,,,,Fchsd2
300,,,,,,,,,,,,,,,,,,,,,,,,,,,Steap3,,,,,Nrip1
301,,,,,,,,,,,,,,,,,,,,,,,,,,,Aurka,,,,,Msi2
302,,,,,,,,,,,,,,,,,,,,,,,,,,,Hist1h2ab,,,,,Gm20467
303,,,,,,,,,,,,,,,,,,,,,,,,,,,Gp1bb,,,,,Egfl7
304,,,,,,,,,,,,,,,,,,,,,,,,,,,Zyx,,,,,Eid2
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva1b
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nap1l3
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clnk
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cbfa2t3
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ms4a2
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insl6
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auts2
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sla2
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nfat5
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsc22d1
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tgm2
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900026A02Rik
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klk8
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oas1c
319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selp
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uba7
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabbr1
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otos
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St3gal6
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rnf122
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ifitm1
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kdm6b
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gm11697
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0610009L18Rik
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcks
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erg
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gm26735
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ctnnal1
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cul9
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4930519L02Rik
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dapp1
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emid1
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ptpre
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trove2
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lmo4
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sgce
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ddah2
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angpt1
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcksl1
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plekhm2
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sertad3
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoxa5
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dok2
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ogt
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cdkn1a
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp608
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ccl3
352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vezf1
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fyb
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F11r
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sept1
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gm17590
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dkkl1
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vldlr
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrbk2
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ndrg1
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rnase6
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furin
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gata3
364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apoe
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adgrl2
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Il18
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emilin2
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insig1
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cd72
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hmga2
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cttn
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dach1
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flt3
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahdc1
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egr1
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nfe2
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smim5
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ikzf2
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mir142hg
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gm16140
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2-Aa
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akap17b
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agl
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ctsf
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gstt1
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Csgalnact1
