,1-Neurons->1-Neurons->1-Neurons->1-Neurons[0_0],1-Neurons->2-Young neurons->1-Neurons->1-Neurons[1_0],1-Neurons->2-Young neurons->2-Young neurons->1-Neurons[2_0],1-Neurons->2-Young neurons->2-Young neurons->2-Young neurons[3_0],1-Neurons->1-Neurons->3-APs/RPs->1-Neurons[4_0],1-Neurons->1-Neurons->3-APs/RPs->3-APs/RPs[5_0],2-Young neurons->1-Neurons->1-Neurons->1-Neurons[6_0],2-Young neurons->2-Young neurons->1-Neurons->1-Neurons[7_0],2-Young neurons->2-Young neurons->2-Young neurons->1-Neurons[8_0],2-Young neurons->2-Young neurons->2-Young neurons->2-Young neurons[9_0],2-Young neurons->1-Neurons->3-APs/RPs->1-Neurons[10_0],2-Young neurons->1-Neurons->3-APs/RPs->3-APs/RPs[11_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[12_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[14_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[15_0],3-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[16_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->5-APs/RPs[17_0],4-IPs->4-IPs->4-IPs->1-Neurons[18_0],4-IPs->4-IPs->3-APs/RPs->1-Neurons[19_0],4-IPs->4-IPs->3-APs/RPs->3-APs/RPs[20_0],4-IPs->4-IPs->4-IPs->4-IPs[21_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[22_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->1-Neurons[23_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[24_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[25_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[26_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->5-APs/RPs[27_0],6-Young neurons->1-Neurons->1-Neurons->1-Neurons[28_0],6-Young neurons->2-Young neurons->1-Neurons->1-Neurons[29_0],6-Young neurons->2-Young neurons->2-Young neurons->1-Neurons[30_0],6-Young neurons->2-Young neurons->2-Young neurons->2-Young neurons[31_0],7-IPs->4-IPs->4-IPs->1-Neurons[32_0],7-IPs->4-IPs->3-APs/RPs->1-Neurons[33_0],7-IPs->4-IPs->3-APs/RPs->3-APs/RPs[34_0],7-IPs->4-IPs->4-IPs->4-IPs[35_0]
0,Dpysl3,Rfc1,2810055G20Rik,2810055G20Rik,Dpysl3,Dpysl3,Eif1b,Pcnt,2610008E11Rik,2610008E11Rik,Abracl,Atrx,Zfyve16,Zfyve16,B230354K17Rik,R3hcc1,Tcf4,Dpysl3,Dpysl3,Dpysl3,Serpinh1,B230354K17Rik,Dus3l,B230354K17Rik,B230354K17Rik,Neurod1,Tcf4,Specc1l,Dpysl3,Dpysl3,Dpysl3,Ppp1r9a,Fam63a,Fam63a,Ppp1r9a
1,Ndn,Cdkn2aip,Rfc1,Cdkn2aip,Nrep,Meg3,Atrx,Cntln,Specc1l,Specc1l,Cd47,Meg3,Jhdm1d,Jhdm1d,Zfyve16,Tnrc18,Hirip3,Tcf4,Atrx,Atrx,Mdk,Golga3,Fut9,Pcnt,Kitl,Tmem87b,Hirip3,Parg,Atrx,Atrx,Atrx,2610008E11Rik,Xrcc1,Dnajc21,Dync2h1
2,Eif1b,Ccdc66,Cdkn2aip,Ccdc66,Cd24a,Nrep,Ndn,Tmem87b,Rfc1,Zfp318,Atrx,Cd24a,2610008E11Rik,Ubr3,Fut9,Tmem87b,Nasp,Atrx,Nrep,Nrep,Dcaf8,2610008E11Rik,Pinx1,R3hcc1,Cwf19l2,Pik3r1,Nasp,Aftph,Nrep,Nrep,Nrep,Ubr3,Pibf1,Fut9,Pibf1
3,Nrep,Mcm6,Ccdc66,Vps37b,Atp2b1,Cd24a,Cd24a,2610008E11Rik,Mcm6,Eif2s3y,Cd24a,Dab1,Fam193b,Fam193b,Jhdm1d,Frmd4b,Mdk,Nrep,Cd24a,Bcl11b,Hes6,Parg,Clvs1,Tnrc18,Sacs,Leng8,Mdk,Cdkn2aip,Cd24a,Cd24a,Cd24a,Fcho2,Dnajc21,Ubp1,Dnajc21
4,Cd24a,Smc2,Vps37b,Tnrc6b,Tuba1a,Fnbp1l,Atp2b1,Golga3,Mllt6,Lrrc16b,Atp2b1,Fnbp1l,Parg,Tbce,Bptf,Pik3r1,Tuba1a,Cd24a,Tuba1a,Cd24a,Mfap2,Cwf19l2,Ubp1,Dync2h1,Traf3ip1,Cbfa2t2,Tuba1a,Ccdc66,Tuba1a,Tuba1a,Tuba1a,Rasal2,Dus3l,Exog,Xrcc1
5,Atp2b1,2810025M15Rik,Mcm6,Smc2,Fnbp1l,Map1b,Ubxn4,Pinx1,Eif2s3y,Zfp101,Dab1,Thra,Cdkn2aip,Mllt6,Exog,Leng8,Cdkn1b,Tuba1a,Ttc28,Ttc28,Rdx,Sacs,Gprasp2,Suco,Tbce,March8,Cdkn1b,Smc2,Ubxn4,Ubxn4,Fnbp1l,Mllt6,Golga3,Fktn,Dnajb12
6,Ubxn4,Tbce,Tnrc6b,2810025M15Rik,Map1b,Pcsk1n,Dab1,Nop14,Lig1,Tnrc6a,Tuba1a,Map1b,Tbce,Lats1,Fktn,Rpgrip1l,Sfrp1,Ttc28,Fnbp1l,Fnbp1l,Rab8b,Zfp740,Fam193b,Ankhd1,Zeb1,Wnt7b,Sfrp1,Sdccag8,Fnbp1l,Fnbp1l,Thra,Eif2s3y,2610008E11Rik,Golim4,Ubr3
7,Tuba1a,Jun,Smc2,Tbce,Pcsk1n,Mapt,Tuba1a,Exog,Lrrc16b,Kri1,Fnbp1l,Rabgap1l,Rasal2,Sdccag8,Fam193b,Tceb3,Sox2,Fnbp1l,Thra,Thra,Gadd45g,Lrrcc1,Mdn1,Rere,Sdccag8,Pknox1,Sox2,Rlf,Ccdc88a,Ccdc88a,Map1b,Lats1,Fut9,Kitl,Lpl
8,Fnbp1l,Lats1,2810025M15Rik,Jun,Mapt,Tmsb10,Fnbp1l,Gpcpd1,Zfp101,Wdr12,Thra,Ankrd12,Dpy19l1,Ubn2,Kitl,Cbfa2t2,H2afx,Thra,Map1b,Map1b,Vps37b,Sec11c,2810055G20Rik,Ubr3,Hba-a1,Aff4,H2afx,Zfp101,Thra,Thra,Tuba1b,Magt1,Ubp1,Mdn1,Vcan
9,mt-Rnr2,Lig1,Tbce,Lats1,Tmsb10,Kif5c,Thra,Fktn,Tnrc6a,Fam214b,Map1b,Pcsk1n,Eif2s3y,Madd,Cwf19l2,Epha5,Dek,Map1b,Neurod2,Neurod2,Slc25a5,Fos,Klc4,Kitl,A230046K03Rik,Cdc42ep3,Dek,Kri1,mt-Rnr2,mt-Rnr2,Tmsb10,Rsrc1,Exog,Efnb3,Efnb3
10,Map1b,Rlf,Jun,Lrrc16b,Kif5c,BC005764,Map1b,Specc1l,Kri1,Zfp827,Rabgap1l,Mapt,Sdccag8,Zfp101,Efnb3,Wnt7b,Sept11,Neurod2,Tmsb10,Tmsb10,Cd63,Traf3ip1,Rgs2,Cwf19l2,Ercc6,Rufy1,Sept11,Ing3,Map1b,Map1b,Anp32e,4922501C03Rik,Fktn,Irak1,Tram1
11,Tuba1b,Hmgb2,Lats1,Rlf,Hist3h2ba,Tmsb4x,mt-Rnr2,Blm,Fam214b,Ercc6,Pcsk1n,Tmsb10,Mllt6,Kri1,Sacs,Arhgef25,mt-Rnr2,Tmsb10,Hist3h2ba,BC005764,Dbi,Lemd2,Fam13b,Traf3ip1,Gfod2,Scn3a,mt-Rnr2,Napg,Tuba1b,Tuba1b,Hist3h2ba,Col11a1,Golim4,Traf3ip1,Akap8l
12,Slc25a5,Tbl1x,Lig1,Hmgb2,Tmsb4x,Map2,Rabgap1l,A830080D01Rik,Ercc6,Ing3,Mapt,Kif5c,Ubn2,Jrkl,Fam13b,Zfp946,Tuba1b,Hist3h2ba,Nfib,Map2,Prdx6,Tbce,Lztr1,Tet1,Jarid2,Mast2,Tuba1b,Rsrc1,Tmsb10,Tmsb10,Ina,Tbl1x,Mdn1,Ccdc41,Tet2
13,Pcsk1n,Trio,Lrrc16b,Ptpn2,Map2,Nsg2,Slc25a5,Sec11c,Ing3,Arhgap12,Tmsb10,BC005764,Rlf,4922501C03Rik,Irak1,Pknox1,2610017I09Rik,Ralgps2,Map2,Nsg2,Pak3,Zeb1,Irak1,Fbxw7,Rif1,Slc4a1ap,Map1b,Nr2f1,Kif5c,Kif5c,Tmsb4x,Timp2,Efnb3,Fsd1l,Fbxw7
14,Mapt,Btg2,Rlf,Tbl1x,Arl6ip1,Gap43,Sptbn1,Traf3ip1,Arhgap12,Rsrc1,Smarca2,Tmsb4x,Setx,Timp2,A830080D01Rik,Slc25a23,Kif21a,Nfib,Dcx,Gap43,Neurog2,Sdccag8,A830080D01Rik,Ddx10,Map3k7,Zfp40,2610017I09Rik,Tbl1x,Hist3h2ba,Hist3h2ba,Map2,AW047730,Irak1,2210018M11Rik,Adam10
15,Tmsb10,2700049A03Rik,Hmgb2,Slc17a6,Dcx,Elavl2,Pcsk1n,Rfc1,Rsrc1,Tbl1x,Kif5c,Nsg2,Zfp101,L3mbtl3,Traf3ip1,Arid4a,Slc25a5,Map2,Nsg2,Rtn1,Chd7,Tfcp2,Ccdc88c,Ank2,Ttc14,Timp2,Kif21a,Timp2,Tmsb4x,Tmsb4x,Dcx,D14Abb1e,Fos,Mllt6,Fgfbp3
16,Kif5c,Pcnt,Tbl1x,Trio,Nsg2,Stmn4,Mapt,Tet2,Col11a1,Btg2,Hist3h2ba,Olfm1,Kri1,AW047730,Cdkn2aip,Gtpbp2,Anp32e,Dcx,Gap43,Stmn2,Mpdz,Ate1,Ccdc91,Adam10,Wnk3,Nrn1,Slc25a5,L3mbtl3,Map2,Map2,Nsg2,Trio,Traf3ip1,Zfp609,Slk
17,Hist3h2ba,Dus3l,Trio,Btg2,Gap43,Rtn1,Tmsb10,Nkain4,Tbl1x,Lrp8,Tmsb4x,Gap43,Fam214b,D14Abb1e,Cdk5rap2,Rufy1,Qk,Nsg2,Rtn1,Cntn2,Tead2,Hba-a1,Cald1,Tbce,D14Abb1e,Flna,Anp32e,AW047730,Dcx,Dcx,Gap43,Poc1b,Lemd2,Hba-a1,Zfp609
18,mt-Nd5,Rock2,Btg2,Dync1h1,Stmn4,Stmn2,Smarca2,Pde7a,AW047730,Pcnt,Arl6ip1,Stmn4,Jrkl,Spen,Draxin,Pak3,Smc2,Gap43,Stmn2,Stmn3,Btg2,Lmo1,Golga1,Lats1,Rufy2,Swt1,Smc2,Smc4,Nsg2,Nsg2,Rtn1,Emx2,Golga1,Secisbp2l,A230046K03Rik
19,Tmsb4x,Clvs1,Dync1h1,2700049A03Rik,Rtn1,Stmn3,Kif5c,Cdk5rap2,Btg2,Tmem87b,Dcx,Rtn1,Ercc6,Trio,Trmt13,9930021J03Rik,Jun,Rtn1,Cntn2,Mycbp2,Syne2,A230046K03Rik,Bod1l,Sdccag8,Ankib1,Trio,Jun,Poc1b,Htatsf1,Htatsf1,Stmn2,Tomm34,Bod1l,Madd,Zdhhc17
20,Map2,Exog,2700049A03Rik,Pcnt,Stmn2,Gm26735,Hist3h2ba,Cenpj,Tada2a,Golga3,Nsg2,Stmn2,L3mbtl3,Btg2,Tbce,Ap3b1,Vim,Stmn2,Stmn3,Aplp1,Ckb,Rai14,Ccdc41,Numa1,Slk,Btg2,Vim,Dennd5b,Gap43,Gap43,Stmn3,Dennd5b,Ccdc41,A230046K03Rik,Hectd1
21,Arl6ip1,Fktn,Pcnt,Dus3l,Stmn3,Aplp1,mt-Nd5,Dvl1,Lrp8,Exog,Olfm1,mt-Rnr1,D14Abb1e,Poc1b,2210018M11Rik,Mast2,Paics,Celf4,Aplp1,Lmo4,,Fam214b,Trmt13,Arhgef25,5830428H23Rik,Asxl3,Paics,BC005561,Rtn1,Rtn1,Celf2,Fam63a,Fsd1l,Flywch2,Hes5
22,Dcx,Sox2,Ccdc50,Clvs1,Gm26735,Sox4,Tmsb4x,Tet1,Pcnt,Gpcpd1,Gpm6a,Stmn3,Tomm34,Pcnt,Pard3,Slc4a1ap,Tmsb4x,Cntn2,Celf2,Tubb3,,Rrnad1,2210018M11Rik,Ubr1,,Ckap4,Tmsb4x,Rock2,Stmn2,Stmn2,Tubb2a,Dus3l,2210018M11Rik,Gfod2,Rrbp1
23,Nsg2,Pcna,Dus3l,Exog,Aplp1,Tubb3,Arl6ip1,Mcm6,Cntln,Fktn,Gap43,Mycbp2,Golga3,Tmem87b,Mllt6,Zfp40,Lig1,Stmn3,Lmo4,Igfbpl1,,Ercc6,Pard3,A230046K03Rik,,Dzip1,Lig1,Ubp1,Stmn3,Stmn3,Lmo4,BC005561,Rasal2,Sgce,Ttyh1
24,Gap43,Dcaf8,Clvs1,Fktn,Celf2,Igfbpl1,Dcx,Smarca1,Tmem87b,Sec11c,Stmn4,Aplp1,Exog,Exog,Sdccag8,Tenm4,Id4,Aplp1,Tubb3,Nnat,,Gfod2,Dpy19l1,9930021J03Rik,,Asxl2,Id4,Gpcpd1,Celf2,Celf2,Tubb3,Golga3,Dpy19l1,Map3k7,Mysm1
25,Stmn4,Traf3ip1,Exog,Pcna,Sox4,Nnat,Nsg2,AI854517,Golga3,Traf3ip1,Rtn1,Tubb3,Fktn,Cwf19l2,Ubn2,Timp2,Ppap2b,Hsp90b1,Igfbpl1,Akap9,,Jarid2,Eif2s3y,Gfod2,,,Ppap2b,Sox2,Tubb2a,Tubb2a,Rbm25,Ubp1,Eif2s3y,Rsrc1,Rsf1
26,Rtn1,Mex3d,Fktn,Plcb1,Tubb3,Akap9,Olfm1,Gkap1,Exog,Cited2,Stmn2,Igfbpl1,Cwf19l2,Irak1,Mlh3,Flna,Hmgb2,Celf2,Nnat,Neurod6,,Rif1,Mllt6,Rif1,,,Hmgb2,Pcna,Lmo4,Lmo4,Ezh2,Exog,Mllt6,Rrbp1,Taf3
